Process Model,LLM Model,Text Type,Prompt,FKGL,FRE,#S,#W,#MR,TS-NC,TS-C,Conflict?,Score,Instruction Following,Correctness,Writing Quality,Source File
1_2,manual,Golden Description,0,38.39340426,-12.775,2,94,1,,,1,0.0,,,,data/golden_descriptions/1_2.txt
1_3,manual,Golden Description,0,7.149578313,68.44235944,6,83,0,,,1,0.0,,,,data/golden_descriptions/1_3.txt
10_1,manual,Golden Description,0,4.485714286,79.52595238,3,28,0,,,1,0.0,,,,data/golden_descriptions/10_1.txt
10_13,manual,Golden Description,0,6.746578947,63.61355263,2,19,0,,,1,0.0,,,,data/golden_descriptions/10_13.txt
10_6,manual,Golden Description,0,5.105555556,69.145,3,18,0,,,1,0.0,,,,data/golden_descriptions/10_6.txt
3_3,manual,Golden Description,0,9.939818182,47.30972727,5,66,0,,,1,0.0,,,,data/golden_descriptions/3_3.txt
5_2,manual,Golden Description,0,11.85275676,23.26454054,5,37,0,,,1,0.0,,,,data/golden_descriptions/5_2.txt
Baking,manual,Golden Description,0,5.144104478,78.07098259,5,63,0,,,1,0.0,,,,data/golden_descriptions/Baking.txt
Cement 1,manual,Golden Description,0,6.966813725,67.82316176,4,51,0,,,1,0.0,,,,data/golden_descriptions/Cement 1.txt
Cement 2,manual,Golden Description,0,9.115238095,54.64642857,6,82,0,,,1,0.0,,,,data/golden_descriptions/Cement 2.txt
Cement 3,manual,Golden Description,0,9.197538897,54.81970297,7,99,0,,,1,0.0,,,,data/golden_descriptions/Cement 3.txt
Chess,manual,Golden Description,0,7.875,58.195,8,88,0,,,1,0.0,,,,data/golden_descriptions/Chess.txt
Chickpeas,manual,Golden Description,0,1.785263158,93.54350877,3,19,0,,,1,0.0,,,,data/golden_descriptions/Chickpeas.txt
Diamonds,manual,Golden Description,0,6.759037037,65.83966667,5,55,0,,,1,0.0,,,,data/golden_descriptions/Diamonds.txt
Experiment Design,manual,Golden Description,0,11.07055592,38.19901897,10,129,0,,,1,0.0,,,,data/golden_descriptions/Experiment Design.txt
Ice Cream,manual,Golden Description,0,6.621548387,58.63232258,5,31,0,,,1,0.0,,,,data/golden_descriptions/Ice Cream.txt
Log Inspection 1,manual,Golden Description,0,4.768170426,75.38052632,7,53,0,,,1,0.0,,,,data/golden_descriptions/Log Inspection 1.txt
Log Inspection 2,manual,Golden Description,0,5.659736842,71.40565789,8,70,0,,,1,0.0,,,,data/golden_descriptions/Log Inspection 2.txt
Ordering Kiosk 1,manual,Golden Description,0,9.404767932,58.90345288,9,158,0,,,1,0.0,,,,data/golden_descriptions/Ordering Kiosk 1.txt
Ordering Kiosk 2,manual,Golden Description,0,9.101053381,63.17867378,15,281,0,,,1,0.0,,,,data/golden_descriptions/Ordering Kiosk 2.txt
Preflop,manual,Golden Description,0,4.936071429,84.60892857,8,113,0,,,1,0.0,,,,data/golden_descriptions/Preflop.txt
Proofread,manual,Golden Description,0,6.121428571,69.495,7,73,0,,,1,0.0,,,,data/golden_descriptions/Proofread.txt
Repair Ticket,manual,Golden Description,0,8.298977273,61.47011364,11,159,0,,,1,0.0,,,,data/golden_descriptions/Repair Ticket.txt
Restaurant,manual,Golden Description,0,12.55313953,43.35668605,4,89,0,,,1,0.0,,,,data/golden_descriptions/Restaurant.txt
Test,manual,Golden Description,0,6.914230769,57.06826923,2,13,0,,,1,0.0,,,,data/golden_descriptions/Test.txt
1_2,gpt-4o-mini,LLM-Generated Original,1,10.5559803,43.48585878,22,192,4,0.5406964366,0.9191521379,0,0.80562,3.0,1.0,2.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt1.txt
1_2,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.828173554,53.32044215,10,121,2,0.4274116772,0.9603030806,1,0.80044,1.0,2.0,3.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt2_conflict_fix.txt
1_2,gpt-4o-mini,LLM-Generated Original,2,8.712,53.61901695,10,119,2,0.4235243108,0.9611573784,1,0.79987,1.0,2.0,3.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt2.txt
1_2,gpt-4o-mini,LLM-Generated Self-Corrected,3,9.231470588,54.10995098,12,170,2,0.2294393742,0.8910859945,1,0.69259,3.0,3.0,5.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt3_conflict_fix.txt
1_2,gpt-4o-mini,LLM-Generated Original,3,9.231470588,54.10995098,12,170,2,0.2294393742,0.8911350419,1,0.69263,3.0,3.0,5.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt3.txt
1_2,llama3.1:8b,LLM-Generated Self-Corrected,1,9.73324279,52.37841549,19,199,3,0.343839585,0.9233551982,1,0.7495,1.0,2.0,2.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt1_conflict_fix.txt
1_2,llama3.1:8b,LLM-Generated Original,1,8.644962406,57.25473684,21,181,3,0.3847815779,0.9218265817,1,0.76071,3.0,3.0,2.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt1.txt
